arxiv_url,dblp_url,t_match,a_match,p_match
http://arxiv.org/abs/1704.03033,http://dblp.org/rec/html/conf/icra/BauzaR17,YES,YES,YES
http://arxiv.org/abs/1503.01663,http://dblp.org/rec/html/conf/nips/FeldmanVR16,YES,YES,YES
http://arxiv.org/abs/1612.01345,http://dblp.org/rec/html/conf/eccv/WangGZX16,YES,YES,YES
http://arxiv.org/abs/1507.01768,http://dblp.org/rec/html/conf/soda/HavivR16,YES,YES,YES
http://arxiv.org/abs/1412.6463,http://dblp.org/rec/html/conf/sigmetrics/MoharirGSS14,YES,YES,YES
http://arxiv.org/abs/1410.1940,http://dblp.org/rec/html/conf/kdd/YuH014,YES,YES,YES
http://arxiv.org/abs/1612.01817,http://dblp.org/rec/html/conf/stoc/OliveiraS17,YES,YES,YES
http://arxiv.org/abs/1306.4947,http://dblp.org/rec/html/conf/nips/Zhu13,YES,YES,YES
http://arxiv.org/abs/cs/0702088,http://dblp.org/rec/html/conf/focs/ChenT07,YES,YES,YES
http://arxiv.org/abs/1501.07053,http://dblp.org/rec/html/conf/focs/AbboudBW15,YES,YES,YES
http://arxiv.org/abs/1307.1955,http://dblp.org/rec/html/journals/pvldb/HeLH13,YES,YES,YES
http://arxiv.org/abs/1510.07768,http://dblp.org/rec/html/conf/soda/ZhuBLMO16,YES,YES,YES
http://arxiv.org/abs/1702.01569,http://dblp.org/rec/html/conf/acl/HerzigB17,YES,YES,YES
http://arxiv.org/abs/1603.00955,http://dblp.org/rec/html/conf/iros/TamjidiCS16,YES,YES,YES
http://arxiv.org/abs/1605.02353,http://dblp.org/rec/html/conf/focs/KyngS16,YES,YES,YES
http://arxiv.org/abs/1406.3700,http://dblp.org/rec/html/conf/soda/Lin15,YES,YES,YES
http://arxiv.org/abs/1506.05908,http://dblp.org/rec/html/conf/nips/PiechBHGSGS15,YES,YES,YES
http://arxiv.org/abs/1411.0073,http://dblp.org/rec/html/conf/nips/OhS14,YES,YES,YES
http://arxiv.org/abs/1605.07708,http://dblp.org/rec/html/conf/icra/MountM16,YES,YES,YES
http://arxiv.org/abs/1103.2410,http://dblp.org/rec/html/journals/pvldb/RastogiDG11,YES,YES,YES
http://arxiv.org/abs/1310.2408,http://dblp.org/rec/html/conf/acl/ZhuZZ13,YES,YES,YES
http://arxiv.org/abs/1707.06372,http://dblp.org/rec/html/conf/sigir/TayPLH17,YES,YES,YES
http://arxiv.org/abs/1605.06065,http://dblp.org/rec/html/conf/icml/SantoroBBWL16,YES,YES,YES
http://arxiv.org/abs/1503.02129,http://dblp.org/rec/html/conf/icml/TangSX15,YES,YES,YES
http://arxiv.org/abs/1704.07535,http://dblp.org/rec/html/conf/acl/RabinovichSK17,YES,YES,YES
http://arxiv.org/abs/0906.4228,http://dblp.org/rec/html/journals/pvldb/MeierSL09,YES,YES,YES
http://arxiv.org/abs/1504.01151,http://dblp.org/rec/html/conf/icra/CerrutiCGS15,YES,YES,YES
http://arxiv.org/abs/1302.6182,http://dblp.org/rec/html/conf/icml/WangMF13,YES,YES,YES
http://arxiv.org/abs/1406.6947,http://dblp.org/rec/html/conf/nips/ZhuLWT14,NO,YES,YES
http://arxiv.org/abs/1704.06735,http://dblp.org/rec/html/conf/icml/PengZZQ17,YES,NO,YES
http://arxiv.org/abs/1707.09118,http://dblp.org/rec/html/conf/emnlp/LawrenceSR17,YES,YES,YES
http://arxiv.org/abs/1107.1744,http://dblp.org/rec/html/conf/nips/AgarwalFHKR11,YES,YES,YES
http://arxiv.org/abs/1302.0309,http://dblp.org/rec/html/journals/pvldb/BailisDFGHS13,YES,YES,YES
http://arxiv.org/abs/0910.4397,http://dblp.org/rec/html/conf/nips/Nowak09,NO,YES,NO
http://arxiv.org/abs/1205.0079,http://dblp.org/rec/html/conf/icml/MairalY12,YES,YES,YES
http://arxiv.org/abs/1604.02657,http://dblp.org/rec/html/conf/eccv/WanYG16,YES,YES,YES
http://arxiv.org/abs/1603.05226,http://dblp.org/rec/html/conf/focs/ChattopadhyayL16,YES,YES,YES
http://arxiv.org/abs/1604.03226,http://dblp.org/rec/html/conf/sigmod/WuGCT17,YES,YES,YES
http://arxiv.org/abs/1604.05086,http://dblp.org/rec/html/conf/ijcai/HuangRCS16,YES,YES,YES
http://arxiv.org/abs/1203.4349,http://dblp.org/rec/html/conf/iros/LimLK12,YES,YES,YES
http://arxiv.org/abs/1605.04986,http://dblp.org/rec/html/conf/nips/Wei16,YES,YES,YES
http://arxiv.org/abs/1206.6386,http://dblp.org/rec/html/conf/icml/BachrachGMG12,YES,YES,YES
http://arxiv.org/abs/1605.06636,http://dblp.org/rec/html/conf/icml/LongZ0J17,YES,YES,YES
http://arxiv.org/abs/1706.04690,http://dblp.org/rec/html/conf/icml/KaleKLP17,YES,YES,YES
http://arxiv.org/abs/1704.05982,http://dblp.org/rec/html/conf/kdd/WuG17,YES,YES,YES
http://arxiv.org/abs/1603.03369,http://dblp.org/rec/html/conf/cvpr/ZhangCSG16,YES,YES,YES
http://arxiv.org/abs/1106.3858,http://dblp.org/rec/html/conf/infocom/GaiLK11,YES,YES,YES
http://arxiv.org/abs/1605.03392,http://dblp.org/rec/html/conf/nips/ScanagattaCCZ16,YES,YES,YES
http://arxiv.org/abs/1310.8583,http://dblp.org/rec/html/conf/aaai/ShatabdaNS13,NO,NO,NO 
http://arxiv.org/abs/1509.02866,http://dblp.org/rec/html/conf/nips/FanWBKH15,YES,YES,YES
